update,Total Number of Messages Count,Total Number of Self IDs sent Count,Total Number of Real Ids sent Count,Total Number of Highest IDs sent Count
41100,3.62154e+07,18675,3.62139e+07,17430
41200,3.63885e+07,18758,3.6387e+07,17430
41300,3.65598e+07,18758,3.65583e+07,17430
41400,3.67295e+07,18758,3.6728e+07,17430
41500,3.69022e+07,18758,3.69007e+07,17513
41600,3.70732e+07,18924,3.70717e+07,17596
41700,3.72446e+07,19090,3.72431e+07,17679
41800,3.74144e+07,19173,3.74129e+07,17762
41900,3.75871e+07,19339,3.75856e+07,17762
42000,3.77592e+07,19339,3.77577e+07,17762
42100,3.79312e+07,19339,3.79298e+07,17845
42200,3.81052e+07,19505,3.81037e+07,17845
42300,3.82808e+07,19505,3.82794e+07,17928
42400,3.84568e+07,19505,3.84553e+07,18011
42500,3.86355e+07,19588,3.8634e+07,18260
42600,3.8813e+07,19588,3.88115e+07,18260
42700,3.89936e+07,19588,3.89922e+07,18260
42800,3.91728e+07,19671,3.91714e+07,18426
42900,3.93499e+07,19754,3.93484e+07,18592
43000,3.95275e+07,20003,3.9526e+07,18924
43100,3.96978e+07,20003,3.96963e+07,19007
43200,4.03498e+07,20244,4.03483e+07,19320
43300,4.05291e+07,20412,4.05276e+07,19488
43400,4.07069e+07,20580,4.07054e+07,19572
43500,4.08848e+07,20664,4.08833e+07,19740
43600,4.10636e+07,20748,4.10621e+07,19908
43700,4.12427e+07,20748,4.12412e+07,19908
43800,4.14196e+07,20748,4.14181e+07,20076
43900,4.15976e+07,20916,4.1596e+07,20076
44000,4.17766e+07,21000,4.1775e+07,20328
44100,4.1954e+07,21084,4.19525e+07,20412
44200,4.21331e+07,21084,4.21316e+07,20664
44300,4.23121e+07,21252,4.23105e+07,20664
44400,4.24897e+07,21420,4.24882e+07,20748
44500,4.26698e+07,21504,4.26683e+07,20832
44600,4.28494e+07,21504,4.28479e+07,20832
44700,4.30267e+07,21588,4.30252e+07,20832
44800,4.32067e+07,21672,4.32051e+07,20916
44900,4.33911e+07,21756,4.33896e+07,21168
45000,4.35821e+07,21756,4.35806e+07,21252
45100,4.37682e+07,21924,4.37667e+07,21336
45200,4.39582e+07,21924,4.39567e+07,21420
45300,4.41466e+07,21924,4.41451e+07,21504
45400,4.43361e+07,22008,4.43346e+07,21756
45500,4.45241e+07,22008,4.45226e+07,21840
45600,4.4715e+07,22092,4.47135e+07,21840
45700,4.49056e+07,22176,4.49041e+07,21924
45800,4.50982e+07,22176,4.50967e+07,22092
